Addr(dec),Size(byte),Group,Sub,Name,Access,Type,Default,Range,Scale/Unit,Bit/State Def,Note
108,2,MOTOR,data,velocity[2],R/O,int16_t,0,?,×10.0 [RPM],,
110,2,MOTOR,data,velocity[3],R/O,int16_t,0,?,×10.0 [RPM],,
112,2,MOTOR,data,current[0],R/O,int16_t,0,?,×0.01 [A],,AK motor ID=1
114,2,MOTOR,data,current[1],R/O,int16_t,0,?,×0.01 [A],,
116,2,MOTOR,data,current[2],R/O,int16_t,0,?,×0.01 [A],,
118,2,MOTOR,data,current[3],R/O,int16_t,0,?,×0.01 [A],,
120,1,MOTOR,data,temp[0],R/O,int8_t,0,-20~127,×1 [°C],,AK motor ID=1
121,1,MOTOR,data,temp[1],R/O,int8_t,0,-20~127,×1 [°C],,
122,1,MOTOR,data,temp[2],R/O,int8_t,0,-20~127,×1 [°C],,
123,1,MOTOR,data,temp[3],R/O,int8_t,0,-20~127,×1 [°C],,
124,2,MOTOR,data,error_code[4],R/O,uint4_t×4 pack,0,?,?,4bit×4 packed (LSB=M1): 각 4bit=AK 에러코드 원시값,AK_State_t.error_code
126,1,MOTOR,data,comm_err[4],R/O,2bit×4 pack,0,?,,2bit×4 packed (LSB=M1): 00=OK / 01=TX_WARN / 10=RX_TIMEOUT / 11=ERROR,AK_Health_e (can_ak.h 참조)
127,1,MOTOR,data,state,R/O,bitfield,0,?,?,?,?
=======================================,,,,, [MOTOR / cmd]  ,,???? [   128  :,179  ] ????,( 52 byte ),모터 제어 명령 ===============================================,
128,1,MOTOR,cmd,ctr_mode[0],R/W,uint8_t,3,0~7,,0=ESTOP / 1=CURRENT / 2=CURRENT_BRAKE / 3=VELOCITY / 4=POSITION / 5=SET_ORIGIN / 6=POS_VEL_LOOP / 7=MIT,AK_Control_Mode_t (can_ak.h)
129,1,MOTOR,cmd,ctr_mode[1],R/W,uint8_t,3,0~7,,(동일 정의 ? ctr_mode[0] 참조),
